Date (YYYY-MM-DD),Kiel Event,Kieler Umschlag
2019-04-20,1,0
2019-04-21,1,0
2019-04-22,1,0
2019-04-23,1,0
2019-04-24,1,0
2019-04-25,1,0
2019-04-26,1,0
2019-04-27,1,0
2019-04-28,1,0
2019-09-27,1,0
2019-09-28,1,0
2019-09-29,1,0
2019-09-30,1,0
2019-10-01,1,0
2019-10-02,1,0
2019-10-03,1,0
2019-10-04,1,0
2019-10-05,1,0
2019-10-06,1,0
2019-09-27,1,0
2018-09-28,1,0
2018-09-29,1,0
2018-09-30,1,0
2018-10-01,1,0
2018-10-02,1,0
2018-10-03,1,0
2018-10-04,1,0
2018-10-05,1,0
2018-10-06,1,0
2018-10-07,1,0
2017-10-12,1,0
2017-10-13,1,0
2017-10-14,1,0
2017-10-15,1,0
2017-10-16,1,0
2017-04-15,1,0
2017-04-16,1,0
2017-04-17,1,0
2017-04-18,1,0
2017-04-19,1,0
2017-04-20,1,0
2017-04-21,1,0
2017-04-22,1,0
2017-04-23,1,0
2016-09-29,1,0
2016-09-30,1,0
2016-10-01,1,0
2016-10-02,1,0
2016-10-03,1,0
2016-04-15,1,0
2016-04-16,1,0
2016-04-17,1,0
2016-04-18,1,0
2016-04-19,1,0
2016-04-20,1,0
2016-04-21,1,0
2016-04-22,1,0
2016-04-23,1,0
2016-04-24,1,0
2015-09-30,1,0
2015-10-01,1,0
2015-10-02,1,0
2015-10-03,1,0
2015-10-04,1,0
2015-04-17,1,0
2015-04-18,1,0
2015-04-19,1,0
2015-04-20,1,0
2015-04-21,1,0
2015-04-22,1,0
2015-04-23,1,0
2015-04-24,1,0
2015-04-25,1,0
2015-04-26,1,0
2014-10-01,1,0
2014-10-02,1,0
2014-10-03,1,0
2014-10-04,1,0
2014-10-05,1,0
2014-04-19,1,0
2014-04-20,1,0
2014-04-21,1,0
2014-04-22,1,0
2014-04-23,1,0
2014-04-24,1,0
2014-04-25,1,0
2014-04-26,1,0
2014-04-27,1,0
2014-02-27,0,1
2014-02-28,0,1
2014-03-01,0,1
2014-03-02,0,1
2013-09-27,1,0
2013-09-28,1,0
2013-09-29,1,0
2013-09-30,1,0
2013-10-01,1,0
2013-10-02,1,0
2013-10-03,1,0
2013-10-04,1,0
2013-10-05,1,0
2013-10-06,1,0
2013-04-19,1,0
2013-04-20,1,0
2013-04-21,1,0
2013-04-22,1,0
2013-04-23,1,0
2013-04-24,1,0
2013-04-25,1,0
2013-04-26,1,0
2013-04-27,1,0
2013-04-28,1,0
2013-02-28,0,1
2013-03-01,0,1
2013-03-02,0,1
2013-03-03,0,1
