Veranstaltung,Startdatum,Enddatum
Kiel Herbstmarkt 2018,28.09,07.10.2018
Kiel Frühjahrsmarkt 2018,13.04,22.04.2018
Kiel Herbstmarkt 2017,12.10,16.10.2017
Kiel Frühjahrsmarkt 2017,15.04,23.04.2017
Kiel Herbstmarkt 2016,29.09,03.10.2016
Kiel Frühjahrsmarkt 2016,15.04,24.04.2016
Kiel Herbstmarkt 2015,30.09,04.10.2015
Kiel Frühjahrsmarkt 2015,17.04,26.04.2015
Kiel Herbstmarkt 2014,01.10,05.10.2014
Kiel Frühjahrsmarkt 2014,19.04,27.04.2014
Kieler Umschlag 2014,27.02,02.03.2014
Kiel Herbstmarkt 2013,27.09,06.10.2013
Kieler Woche 2013,21.06,30.06.2013
Kiel Frühjahrsmarkt 2013,19.04,28.04.2013
Kieler Umschlag 2013,28.02,03.03.2013
